,Unnamed: 0,Reference Key,Sentence,Translated Sentence,Score_shubham,score_saurabh,Difference,Average,Reference,F1_lexi,F1_syno,F1_root,COMET
0,0,S1,Shilpa was holding her newborn wrapped in a pink baby blanket.,शिल्पा ने अपने नवजात शिशु को गुलाबी रंग के बेबी कंबल में लपेटा हुआ था।,3,3,0,3.0,शिल्पा अपने नवजात को गुलाबी कंबल में लपेट रही थीं।,0.56,0.18181818181818185,0.22222222222222224,1.1686055660247803
1,1,S2,"The United Nations is helping India in its uphill battle against Covid-19, said a UN spokesman.",संयुक्त राष्ट्र के एक प्रवक्ता ने कहा कि संयुक्त राष्ट्र भारत को कोविड -19 के खिलाफ कठिन लड़ाई में मदद कर रहा है।,4,4,0,4.0,संयुक्त राष्ट्र के प्रवक्ता ने कहा कि संयुक्त राष्ट्र कोविड-19 के खिलाफ लड़ाई में भारत की मदद कर रहा है।,0.9047619047619048,0.5,0.0,1.1373710632324219
2,2,S3,Vidyut made his Bollywood debut with the action-packed film Force in 2011.,विद्युत ने 2011 में एक्शन से भरपूर फिल्म फोर्स से बॉलीवुड में डेब्यू किया था।,4,4,0,4.0,विद्युत ने 2011 में एक्शन-पैक फिल्म फोर्स के साथ बॉलीवुड में डेब्यू किया था।,0.7407407407407408,0.2857142857142857,0.4,1.266411304473877
3,3,S4,"The initiative with Swiggy covered Delhi, Ahmedabad, Chennai, Indore and Varanasi.","स्विगी के साथ पहल ने दिल्ली, अहमदाबाद, चेन्नई, इंदौर और वाराणसी को कवर किया।",3,4,-1,3.5,"इस पहल में दिल्ली, अहमदाबाद, चेन्नई, इंदौर और वाराणसी शामिल हैं।",0.56,0.5454545454545454,0.8,0.40885409712791443
4,4,S5,Researchers across the world are now racing against time to create a potential vaccine against COVID-19.,COVID-19 के खिलाफ संभावित वैक्सीन बनाने के लिए दुनिया भर के शोधकर्ता अब समय के खिलाफ दौड़ रहे हैं।,2,3,-1,2.5,दुनिया भर के शोधकर्ता अब कोविड-19 के खिलाफ संभावित वैक्सीन बनाने के लिए समय के साथ दौड़ रहे हैं।,0.8947368421052632,0.5,0.0,1.156136155128479
5,5,S6,The Queen is said to have watched and liked the first season.,कहा जाता है कि रानी ने पहले सीज़न को देखा और पसंद किया।,4,4,0,4.0,कहा जाता है कि रानी ने पहले सीजन को देखा और पसंद किया।,0.9230769230769232,1.0,0.0,1.2279967069625854
6,6,S7,Day-night matches have the twilight period and it is the most challenging.,दिन-रात के मैचों में गोधूलि अवधि होती है और यह सबसे चुनौतीपूर्ण होता है।,4,4,0,4.0,डे-नाइट मैचों में ट्वाइलाइट पीरियड है और यह सबसे चुनौतीपूर्ण है।,0.64,0.0,0.0,0.30461472272872925
7,7,S8,"Ranveer took to Instagram and Twitter, and shared a quirky caricature of his wife and himself.",रणवीर ने इंस्टाग्राम और ट्विटर पर अपनी पत्नी और खुद का एक विचित्र कैरिकेचर साझा किया।,4,4,0,4.0,रणवीर ने इंस्टाग्राम और ट्विटर पर अपनी पत्नी और खुद की एक विचित्र तस्वीर साझा की।,0.8125,0.0,0.0,1.2166728973388672
8,8,S9,The US health officials on Monday issued a new travel advisory urging people to avoid nonessential visit to China.,अमेरिकी स्वास्थ्य अधिकारियों ने सोमवार को एक नई यात्रा सलाह जारी कर लोगों से चीन की गैर-जरूरी यात्रा से बचने का आग्रह किया।,4,4,0,4.0,अमेरिकी स्वास्थ्य अधिकारियों ने सोमवार को एक नई यात्रा परामर्श जारी कर लोगों से चीन की अनावश्यक यात्रा से बचने का आग्रह किया।,0.9130434782608696,1.0,0.0,1.2544867992401123
9,9,S10,"Janhvi Kapoor, who is currently prepping for Gunjan Saxena biopic has bagged yet another exciting project.","जान्हवी कपूर, जो वर्तमान में गुंजन सक्सेना की बायोपिक की तैयारी कर रही हैं, को एक और रोमांचक प्रोजेक्ट मिला है।",4,4,0,4.0,जाह्नवी कपूर इन दिनों गुंजन सक्सेना की बायोपिक की तैयारी कर रही हैं।,0.588235294117647,0.2857142857142857,0.0,0.9773839116096497
